number,value,state,params_batch_size,params_dropout,params_embed_dim,params_epochs,params_gat_depth,params_gat_heads,params_gat_hidden_dim,params_lr,params_patch_size,params_stride,params_transformer_heads,params_transformer_layers,params_weight_decay
0,0.9943793911007026,COMPLETE,64,0.2,64,200,4,4,32,4.623711442877854e-05,11,5,16,10,0.0012291787639812032
1,0.6028103044496487,PRUNED,64,0.2,64,250,4,4,32,5.785054481905784e-05,11,4,16,11,0.0016811562320111252
2,0.9920374707259954,COMPLETE,64,0.2,64,200,4,4,32,0.000813487420352556,11,4,16,9,0.00015972435291182756
3,0.9971896955503513,COMPLETE,64,0.2,64,150,4,4,32,0.00011967466925154591,11,4,16,11,0.00925607225640917
4,0.9976580796252927,COMPLETE,64,0.2,64,250,4,4,32,0.00031767281914492677,11,4,16,9,0.00609658164739183
